now_time is 2018-11-07 20-54-01, The Seconds_Behind_Master is 114
now_time is 2018-11-07 20-54-06, The Seconds_Behind_Master is 116
now_time is 2018-11-07 20-54-11, The Seconds_Behind_Master is 124
now_time is 2018-11-07 20-54-16, The Seconds_Behind_Master is 129
now_time is 2018-11-07 20-54-21, The Seconds_Behind_Master is 134
now_time is 2018-11-07 20-54-26, The Seconds_Behind_Master is 94
now_time is 2018-11-07 20-54-31, The Seconds_Behind_Master is 35
now_time is 2018-11-07 20-54-36, The Seconds_Behind_Master is 6
now_time is 2018-11-07 20-55-11, The Seconds_Behind_Master is 2
now_time is 2018-11-07 20-55-16, The Seconds_Behind_Master is 4
now_time is 2018-11-07 20-55-21, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-55-26, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-55-31, The Seconds_Behind_Master is 4
now_time is 2018-11-07 20-55-41, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-55-46, The Seconds_Behind_Master is 2
now_time is 2018-11-07 20-55-51, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-56-21, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-58-21, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-58-26, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-59-11, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-59-16, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-59-21, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-59-41, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-59-46, The Seconds_Behind_Master is 3
now_time is 2018-11-07 20-59-51, The Seconds_Behind_Master is 7
now_time is 2018-11-07 20-59-56, The Seconds_Behind_Master is 11
now_time is 2018-11-07 21-00-01, The Seconds_Behind_Master is 15
now_time is 2018-11-07 21-00-06, The Seconds_Behind_Master is 8
now_time is 2018-11-07 21-00-11, The Seconds_Behind_Master is 11
now_time is 2018-11-07 21-00-16, The Seconds_Behind_Master is 16
now_time is 2018-11-07 21-00-21, The Seconds_Behind_Master is 21
now_time is 2018-11-07 21-00-26, The Seconds_Behind_Master is 26
now_time is 2018-11-07 21-00-31, The Seconds_Behind_Master is 22
now_time is 2018-11-07 21-00-36, The Seconds_Behind_Master is 36
now_time is 2018-11-07 21-00-41, The Seconds_Behind_Master is 41
now_time is 2018-11-07 21-00-46, The Seconds_Behind_Master is 25
now_time is 2018-11-07 21-00-51, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-02-46, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-03-07, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-03-37, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-04-27, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-05-17, The Seconds_Behind_Master is 3
now_time is 2018-11-07 21-06-07, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-06-17, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-06-47, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-07-42, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-08-02, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-08-07, The Seconds_Behind_Master is 4
now_time is 2018-11-07 21-09-47, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-11-37, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-14-02, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-15-32, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-16-43, The Seconds_Behind_Master is 6
now_time is 2018-11-07 21-17-18, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-19-48, The Seconds_Behind_Master is 6
now_time is 2018-11-07 21-30-39, The Seconds_Behind_Master is 4
now_time is 2018-11-07 21-30-44, The Seconds_Behind_Master is 10
now_time is 2018-11-07 21-30-49, The Seconds_Behind_Master is 15
now_time is 2018-11-07 21-30-54, The Seconds_Behind_Master is 20
now_time is 2018-11-07 21-30-59, The Seconds_Behind_Master is 22
now_time is 2018-11-07 21-31-04, The Seconds_Behind_Master is 21
now_time is 2018-11-07 21-31-09, The Seconds_Behind_Master is 19
now_time is 2018-11-07 21-31-14, The Seconds_Behind_Master is 16
now_time is 2018-11-07 21-31-19, The Seconds_Behind_Master is 14
now_time is 2018-11-07 21-31-24, The Seconds_Behind_Master is 10
now_time is 2018-11-07 21-31-29, The Seconds_Behind_Master is 8
now_time is 2018-11-07 21-31-34, The Seconds_Behind_Master is 7
now_time is 2018-11-07 21-31-39, The Seconds_Behind_Master is 7
now_time is 2018-11-07 21-31-44, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-31-49, The Seconds_Behind_Master is 2
now_time is 2018-11-07 21-31-54, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-32-09, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-32-14, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-32-24, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-32-39, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-32-49, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-33-29, The Seconds_Behind_Master is 2
now_time is 2018-11-07 21-33-34, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-33-54, The Seconds_Behind_Master is 4
now_time is 2018-11-07 21-33-59, The Seconds_Behind_Master is 9
now_time is 2018-11-07 21-34-04, The Seconds_Behind_Master is 13
now_time is 2018-11-07 21-34-09, The Seconds_Behind_Master is 18
now_time is 2018-11-07 21-34-14, The Seconds_Behind_Master is 23
now_time is 2018-11-07 21-39-14, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-44-10, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-44-15, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-44-50, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-46-50, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-49-50, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-50-10, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-53-05, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-54-15, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-54-20, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-54-40, The Seconds_Behind_Master is 3
now_time is 2018-11-07 21-54-45, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-54-50, The Seconds_Behind_Master is 7
now_time is 2018-11-07 21-55-15, The Seconds_Behind_Master is 2
now_time is 2018-11-07 21-55-25, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-55-40, The Seconds_Behind_Master is 3
now_time is 2018-11-07 21-55-45, The Seconds_Behind_Master is 8
now_time is 2018-11-07 21-55-50, The Seconds_Behind_Master is 13
now_time is 2018-11-07 21-55-55, The Seconds_Behind_Master is 18
now_time is 2018-11-07 21-56-00, The Seconds_Behind_Master is 23
now_time is 2018-11-07 21-56-05, The Seconds_Behind_Master is 27
now_time is 2018-11-07 21-56-10, The Seconds_Behind_Master is 32
now_time is 2018-11-07 21-56-15, The Seconds_Behind_Master is 25
now_time is 2018-11-07 21-56-20, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-56-30, The Seconds_Behind_Master is 5
now_time is 2018-11-07 21-56-46, The Seconds_Behind_Master is 6
now_time is 2018-11-07 21-57-11, The Seconds_Behind_Master is 1
now_time is 2018-11-07 21-57-41, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-01-56, The Seconds_Behind_Master is 6
now_time is 2018-11-07 22-02-51, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-03-46, The Seconds_Behind_Master is 6
now_time is 2018-11-07 22-03-51, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-10-37, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-10-47, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-11-57, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-21-42, The Seconds_Behind_Master is 5
now_time is 2018-11-07 22-21-52, The Seconds_Behind_Master is 5
now_time is 2018-11-07 22-21-57, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-22-42, The Seconds_Behind_Master is 5
now_time is 2018-11-07 22-25-18, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-29-18, The Seconds_Behind_Master is 5
now_time is 2018-11-07 22-29-58, The Seconds_Behind_Master is 5
now_time is 2018-11-07 22-31-33, The Seconds_Behind_Master is 5
now_time is 2018-11-07 22-37-29, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-38-34, The Seconds_Behind_Master is 6
now_time is 2018-11-07 22-38-39, The Seconds_Behind_Master is 1
now_time is 2018-11-07 22-38-59, The Seconds_Behind_Master is 1
